noc,var.comp_elec,var.eng_tech,var.telco,var.tech_design,var.program,var.interact_comp,harm.rank2006,perc.rank2006,harm.rank2016,perc.rank2016,harm.rank2021,perc.rank2021,noc_title_2016,perc.change.21.06,rank.change.21.06,perc.change.21.16,rank.change.21.16
1111,1.69402224700071,1.70974254372795,0.569482361630572,0.248258143538804,1.78369478914789,1.17807716781768,77.6417185645866,83.5416666666667,122.713188959451,70.3933747412008,116.718978484086,71.8340611353712,Financial auditors and accountants,0.117076055312955,39.0772599194994,-0.0144068639417035,-5.99421047536501
1113,3.48327885846559,1.53314252109841,1.65360021550202,0.739360252741066,1.18300113306511,0.760734735442213,106.448795886069,75.625,94.3869138166509,79.0890269151139,122.529468389237,70.7423580786026,"Securities agents, investment dealers and brokers",0.0488264192139738,16.080672503168,0.0834666883651125,28.1425545725861
1114,1.08596521577209,0.896151150160182,2.02993724926425,1.31923908227963,0.532530305985207,0.55252698360349,135.3086666164,62.0833333333333,113.454258117076,73.9130434782609,143.027178780325,63.9737991266376,Other financial officers,-0.0189046579330422,7.71851216392497,0.0993924435162332,29.572920663249
1122,3.3209392395165,1.40462473035505,1.89681170217508,5.10736148859745,1.00222717671059,0.222733316906864,46.8456827380015,89.7916666666667,103.676688518398,76.8115942028986,112.599673262654,73.1441048034935,Professional occupations in business management consulting,0.166475618631732,65.7539905246525,0.036674893994051,8.922984744256
1123,1.38762931941018,0.361505560025291,1.11348686727494,0.806171249771619,1.29482831232533,0.829114037569575,134.96791662584,62.5,66.7599091814893,86.128364389234,105.85215180357,75.5458515283843,"Professional occupations in advertising, marketing and public relations",-0.130458515283843,-29.11576482227,0.105825128608497,39.0922426220807
1213,2.19715985156596,0.425665255805545,0.822069585456933,1.78406315284334,2.17141275056893,1.23234620270983,100.775346554899,77.7083333333333,117.425025501145,72.2567287784679,108.25278893051,74.6724890829694,"Supervisors, library, correspondence and related information workers",0.030358442503639,7.47744237561099,-0.0241576030450152,-9.17223657063501
1214,1.51271544030374,1.57645491002227,1.0126723721586,0.883576851967803,0.851880322189293,0.327126662522842,118.645512984111,70.8333333333333,100.956051788177,77.2256728778468,99.897824176208,77.5109170305677,"Supervisors, mail and message distribution occupations",-0.0667758369723435,-18.747688807903,-0.00285244152720895,-1.05822761196899
1215,3.6656369382869,2.85176574542147,2.63892181712058,0.519631851794303,0.877855848549939,1.51986115484277,269.345091026047,25.4166666666667,91.9853643182337,80.1242236024845,100.344423152943,77.292576419214,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",-0.518759097525473,-169.000667873104,0.028316471832705,8.35905883470929
1221,0.340426373586614,0.402151791408833,1.01584138648708,0.868760807606635,0.427363331955375,1.61929271732291,100.409728415985,78.125,186.332093105042,45.9627329192547,158.779486980561,54.3668122270742,Administrative officers,0.237581877729258,58.369758564576,-0.0840407930781958,-27.552606124481
1222,1.81452006143039,0.00810020575870351,0.361982103609188,0.121971649711453,1.24068950722303,0.887781881995798,184.365149348789,46.25,134.106845184229,67.287784679089,141.222243870224,64.6288209606987,Executive assistants,-0.183788209606987,-43.142905478565,0.0265896371839033,7.11539868599499
1223,2.4332459479743,0.291430966333403,0.491949170723481,1.30226422590637,0.351093599299033,0.298130656851468,210.331587305381,40.625,179.352145992107,49.8964803312629,222.914353221692,36.0262008733625,Human resources and recruitment officers,0.0459879912663755,12.582765916311,0.138702794579005,43.562207229585
1224,2.84377671650454,1.81729532364262,3.37020160672919,2.70182605472669,0.433012701892219,6.80098355631988,323.812493654232,12.9166666666667,159.692870326462,59.2132505175983,101.423341235819,76.8558951965066,Property administrators,-0.639392285298399,-222.389152418413,-0.176426446789082,-58.269529090643
1225,0.792384679306711,3.69268011623446,0.452081306293459,2.91994860317923,0.350777066251962,2.98360922964257,110.023810998426,74.7916666666667,116.198207560462,73.0848861283644,141.465705379112,64.410480349345,Purchasing agents and officers,0.103811863173217,31.441894380686,0.0867440577901941,25.26749781865
1226,2.31257650323905,0.480644099100364,2.41026416878593,0.252590742770461,0.0956092045778021,0.892641251194081,223.433587704166,36.875,119.909931675109,71.2215320910973,112.261972630263,73.5807860262009,Conference and event planners,-0.367057860262009,-111.171615073903,-0.0235925393510357,-7.64795904484599
1227,2.15724151451617,0.990411605629363,1.22451883962314,0.267572877549276,0.811073435126561,1.87871571117293,134.461947833697,62.7083333333333,191.427349138878,44.0993788819876,285.74391757971,20.5240174672489,Court officers and justices of the peace,0.421843158660844,151.281969746013,0.235753614147387,94.316568440832
1228,1.43980895755699,0.324276999032206,0.88650590050001,0.492999545833462,0.544456350960601,2.50586175946027,160.926749133586,54.7916666666667,162.484295029169,58.1780538302277,126.178467868348,68.5589519650655,"Employment insurance, immigration, border services and revenue officers",-0.137672852983988,-34.748281265238,-0.103808981348378,-36.305827160821
1242,2.21274832354096,0.304964071995921,0.537537241345503,1.13271337209964,0.205524532193442,0.742462398598968,163.795733049547,53.75,165.064157501874,57.1428571428571,127.595883490256,68.3406113537118,Legal administrative assistants,-0.145906113537118,-36.199849559291,-0.111977542108546,-37.468274011618
1243,2.78683899068461,0.196760217862589,0.393158038622299,0.466262930115616,0.161756854568825,3.87812275173182,265.769918720417,26.4583333333333,149.430151571125,64.5962732919255,104.515538578839,75.9825327510917,Medical administrative assistants,-0.495241994177584,-161.254380141578,-0.113862594591662,-44.914612992286
