noc,harm.rank2006,perc.rank2006,harm.rank2016,perc.rank2016,harm.rank2021,perc.rank2021,noc_title_2016,perc.change.21.06,rank.change.21.06,perc.change.21.16,rank.change.21.16,digit.2,skill_level
2147,6.67697063369397,99.375,7.69982980040229,98.9648033126294,4.19639703285058,99.7816593886463,Computer engineers (except software engineers and designers),-0.00406659388646288,-2.48057360084339,-0.00816856076016889,-3.50343276755171,1,Skill level A
2174,5.61694601195991,99.5833333333333,4.30586848228041,99.7929606625259,5.52944015444015,99.5633187772926,Computer programmers and interactive media developers,0.000200145560407569,-0.0875058575197603,0.00229641885233303,1.22357167215974,1,Skill level A
2281,15.6223175965665,96.6666666666667,7.53796594569719,99.1718426501035,5.63376967201059,99.3449781659389,Computer network technicians,-0.026783114992722,-9.98854792455591,-0.00173135515835345,-1.9041962736866,2,Skill level B
2132,69.9913773877643,84.7916666666667,7.86379698040475,98.7577639751553,5.76099757533772,99.1266375545852,Mechanical engineers,-0.143349708879185,-64.2303798124266,-0.00368873579429873,-2.10279940506703,1,Skill level A
2134,9.36313137837489,98.3333333333333,14.0503303202127,96.8944099378882,6.75806682919834,98.9082969432314,Chemical engineers,-0.00574963609898108,-2.60506454917655,-0.0201388700534324,-7.29226349101436,1,Skill level A
2146,7.14809597245406,99.1666666666667,6.91809702754642,99.3788819875776,7.66667047910972,98.6899563318777,Aerospace engineers,0.00476710334788937,0.51857450665566,0.00688925655699911,0.7485734515633,1,Skill level A
2283,17.0494975009405,96.25,11.8729233841269,97.7225672877847,9.02965237895006,98.2532751091703,Information systems testing technicians,-0.0200327510917031,-8.01984512199044,-0.00530707821385627,-2.84327100517684,2,Skill level B
2133,8.83928571428571,98.5416666666667,13.5014641553089,97.1014492753623,9.7172236503856,98.0349344978166,Electrical and electronics engineers,0.00506732168850073,0.87793793609989,-0.00933485222454275,-3.7842405049233,1,Skill level A
2172,13.5767951497336,97.2916666666667,7.87039632266383,98.5507246376812,10.493264154134,97.8165938864629,Database analysts and data administrators,-0.00524927219796216,-3.0835309955996,0.00734130751218277,2.62286783147017,1,Skill level A
0213,10.039938388561,97.9166666666667,20.9616673913348,95.2380952380952,12.1165889270568,97.5982532751092,Computer and information systems managers,0.00318413391557497,2.0766505384958,-0.0236015803701393,-8.845078464278,2,Skill level B
2252,36.9721225274818,92.9166666666667,16.9929068495762,96.0662525879917,12.3976854568763,97.3799126637555,Industrial designers,-0.0446324599708879,-24.5744370706055,-0.0131366007576374,-4.5952213926999,2,Skill level B
7246,11.0613630763868,97.7083333333333,17.5144048966673,95.6521739130435,13.7013719145022,97.1615720524018,Telecommunications installation and repair workers,0.00546761280931587,2.6400088381154,-0.0150939813935827,-3.8130329821651,2,Skill level B
5224,9.65423821948121,98.125,17.0812277866207,95.8592132505176,13.8314543888769,96.9432314410481,Broadcast technicians,0.0118176855895197,4.17721616939569,-0.0108401819053044,-3.2497733977438,2,Skill level B
2171,7.57290836653386,98.9583333333334,18.5638710842286,95.4451345755694,16.3599554405482,96.7248908296943,Information systems analysts and consultants,0.0223344250363901,8.78704707401434,-0.0127975625412496,-2.2039156436804,1,Skill level A
2111,21.8289752650177,95.2083333333333,23.7828601236418,93.7888198757764,17.3099926874521,96.5065502183406,Physicists and astronomers,-0.0129821688500728,-4.5189825775656,-0.0271773034256421,-6.4728674361897,1,Skill level A
2143,22.1980596873598,94.7916666666667,16.1674433133978,96.48033126294,18.2476274659026,96.0698689956332,Mining engineers,-0.0127820232896652,-3.9504322214572,0.00410462267306771,2.0801841525048,1,Skill level A
2144,22.1980596873598,94.7916666666667,16.1674433133978,96.48033126294,18.2476274659026,96.0698689956332,Geological engineers,-0.0127820232896652,-3.9504322214572,0.00410462267306771,2.0801841525048,1,Skill level A
7245,22.9230521079773,94.375,16.5090664126433,96.2732919254658,19.3953145265717,95.8515283842795,Telecommunications line and cable workers,-0.0147652838427948,-3.5277375814056,0.00421763541186362,2.8862481139284,2,Skill level B
2148,16.9217176179537,96.4583333333333,22.8953874821844,94.6169772256729,21.0722883028365,95.4148471615721,"Other professional engineers, n.e.c.",0.0104348617176128,4.1505706848828,-0.00797869935899175,-1.8230991793479,1,Skill level A
2255,43.8078023251401,91.25,23.044947948676,94.4099378881988,21.0862654983881,95.1965065502183,Technical occupations in geomatics and meteorology,-0.0394650655021834,-22.721536826752,-0.00786568662019583,-1.9586824502879,2,Skill level B
2282,11.6081658182324,97.5,12.9052541414172,97.5155279503106,21.4167764654444,94.9781659388646,User support technicians,0.0252183406113537,9.808610647212,0.0253736201144593,8.5115223240272,2,Skill level B
2241,41.1143364923756,92.2916666666667,21.6320844259262,95.0310559006211,22.4155830256328,94.7598253275109,Electrical and electronics engineering technologists and technicians,-0.0246815866084425,-18.6987534667428,0.00271230573110201,0.783498599706601,2,Skill level B
2142,32.3176375263855,93.75,22.492577931717,94.824016563147,22.9155497641548,94.5414847161572,Metallurgical and materials engineers,-0.00791484716157205,-9.4020877622307,0.00282531846989793,0.422971832437799,1,Skill level A
2233,44.7580856947916,90.625,25.4695576756288,92.7536231884058,23.8618791469522,94.3231441048035,Industrial engineering and manufacturing technologists and technicians,-0.0369814410480349,-20.8962065478394,-0.015695209163977,-1.6076785286766,2,Skill level B
